000	431	561
000	434	560	
001	436	559	
004	437	559	
007	437	561	
010	435	563	
012	433	564	
013	429	566	
014	427	566	
016	424	566	
018	422	565	
020	420	567	
021	419	566	
023	418	565	
024	420	566	
025	422	566	
026	426	564	
028	430	562	
030	434	562	
031	439	560	
032	444	560	
034	448	559	
035	451	558	
036	454	557	
037	457	556	
038	458	556	
039	458	555	
041	459	555	
043	459	554	
045	458	554	
046	458	553	
046	457	552	
046	457	553	
048	458	551	
050	458	551	
052	459	550	
053	460	549	
055	461	548	
057	461	547	
059	462	545	
062	463	544	
065	463	544	
067	463	542	
070	464	543	
071	463	542	
074	463	542	
077	461	542	
079	459	540	
081	458	541	
084	455	543	
085	451	543	
088	449	544	
088	445	544	
087	441	544	
088	438	544	
086	434	544	
085	432	543	
083	430	544	
082	428	543	
081	427	543	
081	426	542	
081	425	541	
080	425	541	
079	425	540	
080	427	539	
080	425	539	
081	426	537	
080	428	538	
081	428	538	
082	430	538	
083	430	537	
085	431	537	
086	432	537	
086	432	536	
087	433	535	
087	433	535	
087	435	534	
087	436	535	
088	438	534	
088	439	533	
088	442	532	
089	445	531	
092	448	530	
095	450	527	
096	453	525	
100	456	522	
099	457	520	
098	460	516	
101	461	513	
102	462	511	
103	463	508	
103	462	505	
103	461	502	
103	459	499	
102	458	496	
102	456	493	
101	453	491	
101	449	489	
100	446	487	
099	443	486	
159	459	489	
104	440	483	
105	438	481	
106	438	479	
109	437	478	
110	438	475	
113	438	474	
114	440	470	
115	440	465	
116	441	462	
117	442	457	
119	443	452	
119	443	447	
120	444	441	
121	443	436	
120	441	430	
121	441	425	
120	440	420	
120	438	416	
119	436	410	
117	435	405	
117	434	400	
116	433	397	
116	433	391	
118	433	388	
119	432	379	
122	431	375	
123	430	369	
126	430	361	
128	431	353	
131	430	347	
133	430	338	
135	431	329	
137	431	322	
139	431	314	
140	430	304	
142	430	294	
144	428	285	
146	427	276	
147	424	268	
148	421	260	
147	416	254	
148	412	249	
149	408	248	
151	405	244	
152	401	244	
154	399	246	
154	398	248	
156	398	253	
157	399	261	
158	400	269	
159	402	279	
160	405	290	
160	407	302	
161	409	313	
163	411	325	
163	413	336	
164	414	347	
166	413	354	
167	413	364	
168	412	372	
169	412	379	
169	411	387	
170	410	394	
171	409	402	
173	409	409	
174	409	416	
175	411	424	
176	412	432	
177	414	440	
178	415	448	
179	417	456	
180	419	463	
182	419	470	
182	419	475	
182	419	481	
184	415	487	
185	414	491	
187	413	493	
189	410	496	
190	407	498	
191	403	500	
192	397	500	
192	393	501	
192	387	502	
192	382	502	
192	377	502	
192	374	503	
192	369	503	
193	366	504	
193	362	504	
193	360	505	
194	358	507	
195	358	510	
197	359	510	
198	359	513	
198	360	516	
199	360	517	
201	361	519	
202	360	520	
203	358	522	
206	357	522	
209	355	523	
211	352	524	
213	350	524	
214	348	524	
216	346	524	
217	345	523	
218	345	524	
219	346	524	
220	346	524	
221	350	524	
221	353	524	
221	354	525	
221	358	526	
221	362	528	
221	365	529	
221	367	530	
219	369	532	
218	369	534	
217	369	535	
216	367	537	
216	364	538	
215	361	539	
215	356	539	
215	349	541	
216	345	541	
218	341	541	
219	336	539	
220	332	538	
222	329	538	
223	328	537	
224	328	536	
225	330	535	
226	332	535	
226	336	534	
225	339	534	
225	342	534	
224	345	534	
224	348	535	
223	349	535	
222	350	535	
222	350	536	
221	349	537	
220	348	537	
219	345	538	
218	341	538	
218	337	538	
218	333	538	
218	329	537	
216	325	536	
218	323	536	
219	322	535	
220	321	534	
221	321	533	
222	322	532	
222	323	531	
222	324	530	
222	326	530	
222	327	529	
221	328	529	
221	328	529	
220	327	530	
219	327	530	
218	323	531	
218	319	532	
217	315	532	
215	310	533	
215	305	533	
214	300	534	
214	296	534	
215	293	534	
216	290	533	
217	290	533	
218	291	533	
218	295	531	
220	300	530	
221	304	528	
222	307	527	
222	312	526	
223	317	523	
223	321	522	
223	324	520	
223	326	518	
223	327	517	
222	328	516	
222	328	515	
220	326	515	
219	324	514	
218	323	514	
217	322	514	
215	318	514	
215	314	515	
215	312	515	
216	309	515	
217	308	514	
218	307	514	
219	307	513	
220	307	511	
221	307	510	
221	307	509	
222	309	507	
223	310	506	
225	311	505	
226	311	504	
227	309	504	
227	308	504	
228	307	504	
228	306	504	
229	304	504	
229	302	504	
230	301	505	
230	301	506	
230	300	506	
231	300	507	
232	302	508	
233	305	509	
234	308	509	
234	313	509	
235	318	509	
237	323	507	
238	328	506	
239	332	504	
240	336	501	
241	339	499	
242	340	497	
242	342	494	
244	343	491	
244	341	488	
245	340	485	
245	339	482	
245	337	479	
245	336	476	
245	335	474	
245	335	473	
245	335	472	
245	337	471	
245	338	471	
245	340	471	
245	344	471	
244	347	470	
244	350	469	
244	353	467	
244	357	465	
244	358	463	
244	360	459	
245	361	454	
246	363	450	
246	364	447	
247	365	443	
247	365	438	
248	367	435	
249	369	431	
250	371	428	
251	376	424	
252	379	421	
253	383	419	
254	387	417	
255	391	415	
255	396	413	
255	400	412	
255	404	411	
255	409	408	
255	411	407	
255	413	405	
