Time,Displacement,Force
(s),(mm),(N)
0,0,-0.14863
0.1,0.00696,-0.06509
0.2,0.01671,-0.08745
0.3,0.02529,-0.0835
0.4,0.03364,-0.04533
0.5,0.04179,-0.12689
0.6,0.04998,0.08172
0.7,0.05845,-0.01947
0.8,0.06696,0.10449
0.9,0.07537,-0.18053
1,0.08357,-0.06808
1.1,0.09161,0.1477
1.2,0.10002,0.06376
1.3,0.10854,0.19179
1.4,0.11695,-0.04334
1.5,0.1253,0.09174
1.6,0.13345,0.38087
1.7,0.14164,0.26422
1.8,0.15016,0.32297
1.9,0.15863,0.34486
2,0.16704,0.40798
2.1,0.17523,0.46657
2.2,0.18332,0.47073
2.3,0.19168,0.63258
2.4,0.20025,0.63763
2.5,0.20866,0.75988
2.6,0.21696,0.919
2.7,0.22505,0.92576
2.8,0.2333,1.11113
2.9,0.24182,0.90863
3,0.25029,1.11438
3.1,0.25864,1.25312
3.2,0.26689,1.22009
3.3,0.27493,1.06532
3.4,0.28339,1.41964
3.5,0.29191,1.2872
3.6,0.30037,1.53941
3.7,0.30862,1.64899
3.8,0.31671,1.46199
3.9,0.32496,1.79698
4,0.33348,1.63417
4.1,0.34195,1.83132
4.2,0.3503,1.8179
4.3,0.3585,2.05158
4.4,0.36664,1.87518
4.5,0.37505,2.26711
4.6,0.38357,2.15371
4.7,0.39198,2.30537
4.8,0.40029,2.14412
4.9,0.40837,2.43455
5,0.41668,2.59145
5.1,0.4252,2.56139
5.2,0.43366,2.64267
5.3,0.44202,2.76914
5.4,0.45021,2.62758
5.5,0.4583,2.73942
5.6,0.46677,2.87387
5.7,0.47523,3.0415
5.8,0.48364,3.04784
5.9,0.49189,3.0998
6,0.49998,3.21946
6.1,0.50834,3.32769
6.2,0.51691,3.37108
6.3,0.52532,3.29054
6.4,0.53368,3.54406
6.5,0.54177,3.63737
6.6,0.54996,3.41123
6.7,0.55843,3.42395
6.8,0.56695,3.52872
6.9,0.5753,3.92478
7,0.58361,3.73432
7.1,0.59164,4.10928
7.2,0.6,3.91927
7.3,0.60857,4.14954
7.4,0.61698,4.15732
7.5,0.62534,4.40115
7.6,0.63343,4.22078
7.7,0.64163,4.48508
7.8,0.65014,4.40142
7.9,0.65861,4.6013
8,0.66702,4.59454
8.1,0.67527,4.78945
8.2,0.6833,4.7145
8.3,0.69171,4.75328
8.4,0.70023,4.93386
8.5,0.70864,4.90303
8.6,0.71695,5.18374
8.7,0.72504,5.32314
8.8,0.73323,5.25192
8.9,0.74186,5.35793
9,0.75027,5.40477
9.1,0.75862,5.47022
9.2,0.76687,5.44989
9.3,0.77502,5.53739
9.4,0.78338,5.76706
9.5,0.79189,5.85236
9.6,0.80036,5.83427
9.7,0.80866,5.78551
9.8,0.8167,6.0044
9.9,0.82495,6.14875
10,0.83352,6.22059
10.1,0.84198,6.18971
10.2,0.85034,6.11199
10.3,0.85848,6.34207
10.4,0.86663,6.19341
10.5,0.87509,6.37889
10.6,0.88361,6.40634
10.7,0.89202,6.64846
10.8,0.90032,6.62462
10.9,0.90836,6.70023
11,0.91666,6.65797
11.1,0.92523,6.88661
11.2,0.9337,6.96131
11.3,0.942,6.98014
11.4,0.95014,7.02617
11.5,0.95829,6.95591
11.6,0.96675,7.18072
11.7,0.97521,7.03915
11.8,0.98368,7.3164
11.9,0.99193,7.2098
12,1.00002,7.23496
12.1,1.00832,7.18907
12.2,1.01689,7.19369
12.3,1.0253,7.38747
12.4,1.03371,7.44537
12.5,1.04186,7.3347
12.6,1.05,7.37512
12.7,1.05846,7.49021
12.8,1.06693,7.39843
12.9,1.07534,7.56547
13,1.08354,7.2562
13.1,1.09168,7.61625
13.2,1.09998,7.52185
13.3,1.10855,7.53284
13.4,1.11696,7.59389
13.5,1.12532,7.73149
13.6,1.13336,7.7096
13.7,1.14161,7.60205
13.8,1.15013,7.86732
13.9,1.15864,7.83213
14,1.167,7.83933
14.1,1.17525,8.09138
14.2,1.18329,8.15707
14.3,1.1917,8.155
14.4,1.20021,8.2705
14.5,1.20863,8.17563
14.6,1.21698,8.27681
14.7,1.22507,8.37872
14.8,1.23327,8.15832
14.9,1.24179,8.18256
15,1.25025,8.23202
15.1,1.25866,8.23957
15.2,1.26686,8.21383
15.3,1.275,8.07948
15.4,1.28341,8.19896
15.5,1.29193,8.16456
15.6,1.30034,8.24967
15.7,1.3087,8.40556
15.8,1.31673,8.49334
15.9,1.32498,8.38125
16,1.3335,8.32664
16.1,1.34191,8.48857
16.2,1.35032,8.58567
16.3,1.35852,8.66233
16.4,1.36661,8.73701
16.5,1.37507,8.9031
16.6,1.38359,8.8888
16.7,1.392,9.06357
16.8,1.4003,9.18026
16.9,1.40834,9.27252
17,1.4167,9.20235
17.1,1.42521,9.35201
17.2,1.43362,9.39392
17.3,1.44204,9.44914
17.4,1.45018,9.41731
17.5,1.45827,9.5181
17.6,1.46679,9.59725
17.7,1.47525,9.58382
17.8,1.48371,9.66114
17.9,1.49196,9.78813
18,1.5,9.9041
18.1,1.5083,10.04914
18.2,1.51687,10.12926
18.3,1.52534,10.04774
18.4,1.5337,10.14106
18.5,1.54179,10.40506
18.6,1.54993,10.35239
18.7,1.55845,10.53574
18.8,1.56696,10.363
18.9,1.57537,10.53619
19,1.58357,10.64442
19.1,1.59161,10.61423
19.2,1.60002,10.83935
19.3,1.60854,10.8984
19.4,1.61695,10.91793
19.5,1.62536,11.14964
19.6,1.63345,11.15544
19.7,1.64164,11.15973
19.8,1.65016,11.22513
19.9,1.65863,11.35157
20,1.66704,11.27723
20.1,1.67523,11.55827
20.2,1.68332,11.52823
20.3,1.69168,11.75577
20.4,1.7002,11.78779
20.5,1.70866,11.66766
20.6,1.71696,11.99658
20.7,1.72505,11.8911
20.8,1.7333,12.04607
20.9,1.74182,12.25499
21,1.75029,12.10188
21.1,1.7587,12.26138
21.2,1.76689,12.33798
21.3,1.77493,12.3357
21.4,1.78339,12.56689
21.5,1.79196,12.62366
21.6,1.80037,12.57983
21.7,1.80862,12.75949
21.8,1.81671,12.86814
21.9,1.82496,13.07055
22,1.83348,12.86671
22.1,1.84195,12.93372
22.2,1.8503,13.06794
22.3,1.8585,13.32693
22.4,1.86664,13.0898
22.5,1.87505,13.27304
22.6,1.88357,13.37589
22.7,1.89198,13.48877
22.8,1.90034,13.62234
22.9,1.90837,13.51608
23,1.91668,13.55244
23.1,1.92525,13.71374
23.2,1.93366,13.80143
23.3,1.94202,13.92355
23.4,1.95016,13.92505
23.5,1.9583,14.0352
23.6,1.96677,14.15945
23.7,1.97523,14.23414
23.8,1.98364,14.35447
23.9,1.99189,14.37623
24,1.99998,14.52383
24.1,2.00829,14.41448
24.2,2.01691,14.52244
24.3,2.02532,14.76712
24.4,2.03368,14.77711
24.5,2.04177,14.79851
24.6,2.04996,14.79
24.7,2.05848,15.12533
24.8,2.06695,14.91906
24.9,2.0753,15.04269
25,2.08361,15.28276
25.1,2.09164,15.17256
25.2,2.09995,15.31262
25.3,2.10857,15.40514
25.4,2.11698,15.4707
25.5,2.12534,15.65814
25.6,2.13343,15.68367
25.7,2.14162,15.65326
25.8,2.15014,15.65863
25.9,2.15861,15.8095
26,2.16702,15.78825
26.1,2.17527,16.16579
26.2,2.1833,16.21192
26.3,2.19171,16.2562
26.4,2.20023,16.15961
26.5,2.20864,16.41509
26.6,2.21695,16.35316
26.7,2.22504,16.53626
26.8,2.23329,16.41352
26.9,2.24186,16.40167
27,2.25027,16.85781
27.1,2.25863,16.84248
27.2,2.26688,16.65444
27.3,2.27496,16.91157
27.4,2.28343,17.13268
27.5,2.29189,16.93576
27.6,2.30036,17.21776
27.7,2.30866,17.31516
27.8,2.3167,17.39974
27.9,2.325,17.31852
28,2.33352,17.33272
28.1,2.34198,17.34677
28.2,2.35034,17.49457
28.3,2.35854,17.78239
28.4,2.36657,17.76008
28.5,2.37509,17.80557
28.6,2.38361,17.85082
28.7,2.39202,18.00969
28.8,2.40032,18.01974
28.9,2.40836,18.26182
29,2.41666,18.26979
29.1,2.42523,18.45511
29.2,2.4337,18.33542
29.3,2.442,18.3945
29.4,2.45014,18.58233
29.5,2.45829,18.56884
29.6,2.46675,18.7369
29.7,2.47521,18.8969
29.8,2.48368,18.93619
29.9,2.49193,18.89586
30,2.50002,18.8971
30.1,2.50832,19.07768
30.2,2.51689,18.969
30.3,2.5253,19.09548
30.4,2.53366,19.25823
30.5,2.5418,19.36485
30.6,2.54995,19.50476
30.7,2.55846,19.35113
30.8,2.56698,19.67973
30.9,2.57534,19.67136
31,2.58354,19.91771
31.1,2.59168,19.72042
31.2,2.59998,20.02134
31.3,2.60855,19.96248
31.4,2.61696,20.07603
31.5,2.62532,20.12342
31.6,2.63341,20.08627
31.7,2.64161,20.3437
31.8,2.65018,20.48783
31.9,2.65864,20.37424
32,2.66705,20.45776
32.1,2.67525,20.53832
32.2,2.68329,20.55649
32.3,2.6917,20.53746
32.4,2.70021,20.99723
32.5,2.70863,21.06985
32.6,2.71698,21.03596
32.7,2.72507,21.11798
32.8,2.73327,21.00276
32.9,2.74179,21.24133
33,2.7503,21.48489
33.1,2.75866,21.42854
33.2,2.76686,21.2966
33.3,2.775,21.51213
33.4,2.78341,21.70228
33.5,2.79193,21.67771
33.6,2.80034,21.88307
33.7,2.80864,21.81525
33.8,2.81668,21.97627
33.9,2.82498,22.22065
34,2.83355,21.96237
34.1,2.84196,21.95917
34.2,2.85032,22.29982
34.3,2.85846,22.33331
34.4,2.86661,22.35463
34.5,2.87507,22.35002
34.6,2.88359,22.70078
34.7,2.892,22.63946
34.8,2.90025,22.70973
34.9,2.90839,22.91863
35,2.9167,22.74034
35.1,2.92521,22.98314
35.2,2.93362,22.94467
35.3,2.94204,23.00617
35.4,2.95012,22.945
35.5,2.95827,23.32657
35.6,2.96679,23.33033
35.7,2.97525,23.36493
35.8,2.98366,23.60373
35.9,2.99191,23.42122
36,3,23.6091
36.1,3.0083,23.85916
36.2,3.01687,23.81114
36.3,3.02534,23.96758
36.4,3.0337,23.76322
36.5,3.04179,23.91227
36.6,3.04998,24.00914
36.7,3.05845,24.0818
36.8,3.06696,24.20014
36.9,3.07538,24.34844
37,3.08357,24.40473
37.1,3.09161,24.46533
37.2,3.10002,24.61033
37.3,3.10859,24.56147
37.4,3.117,24.73215
37.5,3.12536,24.85326
37.6,3.13345,24.96569
37.7,3.14159,25.03713
37.8,3.15016,24.90999
37.9,3.15862,25.25093
38,3.16704,25.24535
38.1,3.17523,25.32495
38.2,3.18332,25.31459
38.3,3.19168,25.41257
38.4,3.20025,25.47297
38.5,3.20866,25.59677
38.6,3.21696,25.55978
38.7,3.22505,25.91098
38.8,3.2333,25.74502
38.9,3.24182,25.94743
39,3.25029,25.83182
39.1,3.2587,26.14989
39.2,3.26689,25.97646
39.3,3.27493,26.17894
39.4,3.28339,26.23688
39.5,3.29191,26.47654
39.6,3.30037,26.37243
39.7,3.30862,26.39539
39.8,3.31671,26.55203
39.9,3.32496,26.72091
40,3.33348,26.7501
40.1,3.34195,27.16691
40.2,3.3503,27.00579
40.3,3.3585,26.98533
40.4,3.36664,27.06179
40.5,3.37505,27.03669
40.6,3.38357,27.20956
40.7,3.39204,27.32577
40.8,3.40029,27.42881
40.9,3.40838,27.4306
41,3.41668,27.52036
41.1,3.42525,27.55712
41.2,3.43366,27.56154
41.3,3.44196,27.73052
41.4,3.45021,27.98926
41.5,3.4583,28.01542
41.6,3.46677,27.98808
41.7,3.47523,28.17339
41.8,3.48364,28.18032
41.9,3.49189,28.28652
42,3.49998,28.2471
42.1,3.50834,28.5291
42.2,3.51691,28.53226
42.3,3.52532,28.46396
42.4,3.53368,28.69319
42.5,3.54177,28.80471
42.6,3.55002,28.8977
42.7,3.55848,28.90011
42.8,3.56695,28.83744
42.9,3.5753,29.09265
43,3.58361,29.04359
43.1,3.59164,29.337
43.2,3.59995,29.44129
43.3,3.60857,29.33649
43.4,3.61693,29.50182
43.5,3.62534,29.57419
43.6,3.63343,29.52427
43.7,3.64162,29.68017
43.8,3.65014,29.73451
43.9,3.65861,29.70671
44,3.66702,29.75288
44.1,3.67527,29.96622
44.2,3.6833,30.19774
44.3,3.69171,30.14388
44.4,3.70023,30.28692
44.5,3.70864,30.10636
44.6,3.717,30.61333
44.7,3.72504,30.61359
44.8,3.73329,30.81727
44.9,3.74186,30.84719
45,3.75027,30.77781
45.1,3.75862,30.86498
45.2,3.76688,30.8632
45.3,3.77502,30.84852
45.4,3.78343,31.02375
45.5,3.79189,31.07177
45.6,3.80036,31.21762
45.7,3.80866,31.32866
45.8,3.8167,31.37249
45.9,3.82495,31.30679
46,3.83352,31.64646
46.1,3.84198,31.57733
46.2,3.85034,31.84385
46.3,3.85848,31.80861
46.4,3.86657,31.89493
46.5,3.87509,31.94629
46.6,3.88355,31.84442
46.7,3.89202,31.94426
46.8,3.90032,32.13626
46.9,3.90836,32.21952
47,3.91666,32.31469
47.1,3.92523,32.57562
47.2,3.9337,32.55011
47.3,3.94205,32.38991
47.4,3.95014,32.61319
47.5,3.95829,32.62391
47.6,3.96675,32.73074
47.7,3.97521,32.80564
47.8,3.98368,32.94569
47.9,3.99193,33.03876
48,4.00002,33.11338
48.1,4.00832,33.08903
48.2,4.01689,33.13302
48.3,4.0253,33.47974
48.4,4.03366,33.47965
48.5,4.04186,33.41713
48.6,4.05,33.64985
48.7,4.05846,33.68927
48.8,4.06693,33.84994
48.9,4.07534,33.84906
49,4.08359,33.90461
49.1,4.09168,34.17566
49.2,4.09998,34.05641
49.3,4.10855,34.37886
49.4,4.11696,34.10842
49.5,4.12532,34.33366
49.6,4.13341,34.28551
49.7,4.14161,34.38288
49.8,4.15018,34.55933
49.9,4.1587,34.58207
50,4.16705,34.78418
50.1,4.1753,34.74022
50.2,4.18329,34.92879
50.3,4.1917,34.75016
50.4,4.20021,35.00054
50.5,4.20868,35.09459
50.6,4.21698,35.04567
50.7,4.22507,35.32611
50.8,4.23327,35.39268
50.9,4.24179,35.36135
51,4.2503,35.47141
51.1,4.25866,35.5419
51.2,4.26686,35.43502
51.3,4.275,35.62537
51.4,4.28341,35.64187
51.5,4.29193,35.85725
51.6,4.30034,35.80221
51.7,4.3087,36.15641
51.8,4.31673,36.01469
51.9,4.32493,36.21845
52,4.3335,36.28176
52.1,4.34196,36.34292
52.2,4.35032,36.44535
52.3,4.35852,36.47215
52.4,4.36661,36.69711
52.5,4.37507,36.43837
52.6,4.38359,36.76079
52.7,4.392,36.7275
52.8,4.4003,36.75919
52.9,4.40839,37.04757
53,4.4167,36.94245
53.1,4.42521,37.06193
53.2,4.43368,37.05106
53.3,4.44204,37.29473
53.4,4.45013,37.37432
53.5,4.45827,37.46407
53.6,4.46679,37.28255
53.7,4.47525,37.52975
53.8,4.48366,37.60138
53.9,4.49191,37.77649
54,4.5,37.8885
54.1,4.5083,38.0985
54.2,4.51687,37.85859
54.3,4.52534,38.18213
54.4,4.5337,38.25407
54.5,4.54179,38.26414
54.6,4.54993,38.15497
54.7,4.55845,38.32979
54.8,4.56696,38.29006
54.9,4.57537,38.62348
55,4.58357,38.6672
55.1,4.59161,38.63504
55.2,4.60002,38.73679
55.3,4.60854,38.84145
55.4,4.61695,38.90923
55.5,4.62536,39.21375
55.6,4.63345,38.97958
55.7,4.64164,39.12349
55.8,4.65016,39.32185
55.9,4.65863,39.43046
56,4.66704,39.42933
56.1,4.67529,39.56413
56.2,4.68332,39.59294
56.3,4.69168,39.71019
56.4,4.70025,39.83909
56.5,4.70866,39.72943
56.6,4.71702,39.89183
56.7,4.72505,39.98915
56.8,4.7333,40.06913
56.9,4.74182,39.95889
57,4.75029,40.18337
57.1,4.7587,40.45172
57.2,4.76689,40.33167
57.3,4.77493,40.39559
57.4,4.78339,40.64577
57.5,4.79196,40.50599
57.6,4.80037,40.74339
57.7,4.80868,40.73981
57.8,4.81671,40.95615
57.9,4.82496,40.84408
58,4.83348,41.07246
58.1,4.84195,41.06382
58.2,4.8503,41.15254
58.3,4.8585,41.41561
58.4,4.86664,41.26243
58.5,4.87505,41.51914
58.6,4.88357,41.35751
58.7,4.89204,41.67262
58.8,4.90034,41.7964
58.9,4.90837,41.80457
59,4.91668,41.69008
59.1,4.9252,42.08016
59.2,4.93366,42.07666
59.3,4.94196,42.16164
59.4,4.95016,42.25842
59.5,4.9583,41.96139
59.6,4.96677,42.24759
59.7,4.97523,42.31636
59.8,4.98364,42.41729
59.9,4.99189,42.60754
60,4.99993,42.75577
60.1,5.00834,42.77414
60.2,5.01691,42.79919
60.3,5.02532,42.73227
60.4,5.03368,43.05093
60.5,5.04177,42.96372
60.6,5.04996,42.94159
60.7,5.05848,43.08118
60.8,5.06695,43.31053
60.9,5.07536,43.30938
61,5.08361,43.34727
61.1,5.09164,43.39979
61.2,5.1,43.41921
61.3,5.10857,43.68828
61.4,5.11698,43.81509
61.5,5.12534,43.64291
61.6,5.13343,43.74209
61.7,5.14163,43.95583
61.8,5.15014,43.98048
61.9,5.15861,44.23122
62,5.16702,44.08965
62.1,5.17527,44.17889
62.2,5.1833,44.42939
62.3,5.19171,44.51398
62.4,5.20023,44.41243
62.5,5.20864,44.62828
62.6,5.21695,44.59528
62.7,5.22504,44.91292
62.8,5.23329,44.7699
62.9,5.24186,45.05779
63,5.25027,44.99068
63.1,5.25863,45.07297
63.2,5.26688,45.22831
63.3,5.27496,45.23645
63.4,5.28343,45.43989
63.5,5.29189,45.61682
63.6,5.30036,45.59402
63.7,5.30866,45.54712
63.8,5.3167,45.56178
63.9,5.325,45.6281
64,5.33352,45.79709
64.1,5.34198,45.87207
64.2,5.35034,45.93596
64.3,5.35848,46.15792
64.4,5.36657,46.14743
64.5,5.37509,46.09573
64.6,5.38361,46.25196
64.7,5.39196,46.37068
64.8,5.40032,46.36169
64.9,5.40836,46.46763
65,5.41666,46.64025
65.1,5.42523,46.60738
65.2,5.4337,46.74911
65.3,5.442,46.84814
65.4,5.45014,46.77187
65.5,5.45829,47.15657
65.6,5.46675,47.14239
65.7,5.47521,47.32258
65.8,5.48368,47.25122
65.9,5.49193,47.26036
66,5.50002,47.33047
66.1,5.50837,47.31073
66.2,5.51689,47.53638
66.3,5.5253,47.7103
66.4,5.53366,47.60305
66.5,5.54186,47.8236
66.6,5.54995,47.79627
66.7,5.55846,47.91653
66.8,5.56693,47.99444
66.9,5.57534,48.02541
67,5.58354,48.06376
67.1,5.59168,48.18851
67.2,5.60004,48.28628
67.3,5.60855,48.36772
67.4,5.61696,48.52331
67.5,5.62532,48.71569
67.6,5.63341,48.56483
67.7,5.64161,48.62739
67.8,5.65018,48.7498
67.9,5.65864,48.95601
68,5.667,48.71429
68.1,5.67525,49.03732
68.2,5.68329,49.18466
68.3,5.6917,49.1235
68.4,5.70021,49.32163
68.5,5.70862,49.36895
68.6,5.71698,49.50423
68.7,5.72507,49.43166
68.8,5.73327,49.67577
68.9,5.74184,49.73915
69,5.7503,49.79537
69.1,5.75866,49.85591
69.2,5.76691,49.73446
69.3,5.775,50.0776
69.4,5.78341,49.98516
69.5,5.79193,50.32599
69.6,5.80034,50.1218
69.7,5.8087,50.40818
69.8,5.81673,50.42741
