Time,Displacement,Force
(s),(mm),(N)
0,0,-0.13613
0.1,0.00696,0.05127
0.2,0.01661,-0.02967
0.3,0.02523,-0.11336
0.4,0.03332,-0.01904
0.5,0.04157,-0.0645
0.6,0.05014,0.03496
0.7,0.05855,-0.02591
0.8,0.06696,0.0763
0.9,0.07516,-0.06638
1,0.0833,-0.06908
1.1,0.09171,-0.04903
1.2,0.10023,-0.04773
1.3,0.10864,0.08317
1.4,0.117,-0.0342
1.5,0.12509,0.08217
1.6,0.13329,-0.07968
1.7,0.1418,0.0659
1.8,0.15027,0.1059
1.9,0.15863,0.07639
2,0.16682,0.36414
2.1,0.17496,0.59918
2.2,0.18338,0.69486
2.3,0.19189,1.17572
2.4,0.2003,1.40971
2.5,0.20861,1.50433
2.6,0.21664,1.70489
2.7,0.22495,1.9429
2.8,0.23352,2.0822
2.9,0.24198,2.21005
3,0.25034,2.65879
3.1,0.25848,2.88359
3.2,0.26662,2.85213
3.3,0.27509,3.07538
3.4,0.28361,3.32582
3.5,0.29196,3.65565
3.6,0.30021,3.91713
3.7,0.3083,4.04293
3.8,0.31661,4.30951
3.9,0.32518,4.49777
4,0.33364,4.59772
4.1,0.34195,4.84865
4.2,0.35009,4.8936
4.3,0.35829,5.25934
4.4,0.36675,5.56841
4.5,0.37527,5.72551
4.6,0.38368,5.99585
4.7,0.39193,6.21837
4.8,0.39996,6.6979
4.9,0.40832,6.79563
5,0.41684,7.12735
5.1,0.4253,7.20175
5.2,0.43361,7.41976
5.3,0.4417,7.32974
5.4,0.44989,7.1851
5.5,0.45846,7.22394
5.6,0.46693,7.17491
5.7,0.47534,7.17261
5.8,0.48354,7.10838
5.9,0.49162,7.40662
6,0.50004,7.01602
6.1,0.50855,7.20241
6.2,0.51696,7.0845
6.3,0.52532,6.97815
6.4,0.53336,7.149
6.5,0.54155,7.46146
6.6,0.55013,7.63945
6.7,0.55859,7.90587
6.8,0.567,7.80696
6.9,0.5752,7.89578
7,0.58329,7.83536
7.1,0.5917,8.03891
7.2,0.60021,7.77098
7.3,0.60868,8.07977
7.4,0.61698,8.03133
7.5,0.62502,8.12434
7.6,0.63332,7.86314
7.7,0.64184,8.03442
7.8,0.6503,8.15765
7.9,0.65861,8.17323
8,0.6668,8.20033
8.1,0.67489,8.21385
8.2,0.68341,8.3268
8.3,0.69187,8.26527
8.4,0.70029,8.24114
8.5,0.70859,8.45899
8.6,0.71668,8.45956
8.7,0.72498,8.65664
8.8,0.7335,8.77799
8.9,0.74196,9.05355
9,0.75032,9.32059
9.1,0.75846,9.4912
9.2,0.76661,9.74367
9.3,0.77507,9.86309
9.4,0.78354,10.35053
9.5,0.792,10.40453
9.6,0.80025,10.54577
9.7,0.80829,10.9062
9.8,0.81664,11.00126
9.9,0.82521,11.36498
10,0.83362,11.4736
10.1,0.84198,11.69274
10.2,0.85012,12.14118
10.3,0.85827,12.14072
10.4,0.86679,12.58991
10.5,0.8753,12.67869
10.6,0.88366,12.92757
10.7,0.89186,13.17694
10.8,0.89995,13.39365
10.9,0.9083,13.62478
11,0.91682,13.83098
11.1,0.92529,14.08962
11.2,0.93359,14.43171
11.3,0.94173,14.61993
11.4,0.94993,14.76719
11.5,0.95845,15.07106
11.6,0.96696,15.40134
11.7,0.97532,15.55711
11.8,0.98357,15.78603
11.9,0.99161,15.89408
12,1.00002,16.18777
12.1,1.00854,16.36249
12.2,1.01695,16.86896
12.3,1.02525,17.0225
12.4,1.03339,17.0946
12.5,1.04159,17.33919
12.6,1.05016,17.70709
12.7,1.05863,17.78303
12.8,1.06698,18.03911
12.9,1.07513,18.32493
13,1.08321,18.54106
13.1,1.09173,18.71919
13.2,1.10025,18.98978
13.3,1.10866,19.34621
13.4,1.11696,19.53113
13.5,1.125,19.72474
13.6,1.1333,20.06985
13.7,1.14182,20.2525
13.8,1.15029,20.42168
13.9,1.15864,20.69678
14,1.16684,20.97501
14.1,1.17493,21.09946
14.2,1.18334,21.3334
14.3,1.19191,21.51002
14.4,1.20032,21.78168
14.5,1.20863,22.1523
14.6,1.21666,22.29098
14.7,1.22496,22.52177
14.8,1.23354,22.93049
14.9,1.242,23.14912
15,1.25036,23.27091
15.1,1.2585,23.71639
15.2,1.26659,23.9359
15.3,1.27511,24.36057
15.4,1.28357,24.36522
15.5,1.29193,24.59907
15.6,1.30023,24.75414
15.7,1.30827,25.10594
15.8,1.31662,25.45263
15.9,1.3252,25.50935
16,1.33361,25.97548
16.1,1.34196,26.17012
16.2,1.35011,26.29132
16.3,1.3583,26.63591
16.4,1.36677,26.77305
16.5,1.37523,27.31379
16.6,1.38364,27.23129
16.7,1.39189,27.68788
16.8,1.39993,27.89944
16.9,1.40834,28.28104
17,1.41686,28.43274
17.1,1.42532,28.77022
17.2,1.43362,28.92385
17.3,1.44171,29.32415
17.4,1.44991,29.27144
17.5,1.45848,29.80878
17.6,1.46695,29.9017
17.7,1.47536,30.33234
17.8,1.48355,30.53999
17.9,1.49159,30.88617
18,1.50005,30.94119
18.1,1.50857,31.20815
18.2,1.51698,31.39226
18.3,1.52529,31.76389
18.4,1.53332,32.03292
18.5,1.54163,32.15194
18.6,1.55014,32.52243
18.7,1.55855,32.83018
18.8,1.56696,33.13753
18.9,1.57516,33.35271
19,1.5833,33.52877
19.1,1.59171,33.83443
19.2,1.60023,34.17881
19.3,1.60864,34.34741
