Time,Displacement,Force
(s),(mm),(N)
0,0,0.04178
0.1,0.00696,-0.03478
0.2,0.01661,-0.06859
0.3,0.02513,0.03225
0.4,0.03321,0.03588
0.5,0.04168,0.01893
0.6,0.0502,0.00331
0.7,0.05861,0.31544
0.8,0.06691,0.02037
0.9,0.07505,0.24944
1,0.08325,0.26647
1.1,0.09182,0.41591
1.2,0.10023,0.62851
1.3,0.10864,0.60629
1.4,0.11679,0.64954
1.5,0.12493,0.91686
1.6,0.13339,0.81081
1.7,0.14191,0.87773
1.8,0.15032,1.14917
1.9,0.15863,1.0787
2,0.16666,1.1114
2.1,0.17496,1.27297
2.2,0.18348,1.24813
2.3,0.19195,1.56326
2.4,0.2003,1.80227
2.5,0.20845,1.83127
2.6,0.21659,1.79944
2.7,0.225,2.1002
2.8,0.23357,1.9415
2.9,0.24193,2.18991
3,0.25023,2.31381
3.1,0.25832,2.15833
3.2,0.26662,2.40085
3.3,0.2752,2.61542
3.4,0.28366,2.61638
3.5,0.29202,2.80588
3.6,0.30016,2.7119
3.7,0.3083,3.02583
3.8,0.31671,2.91767
3.9,0.32523,2.99373
4,0.33364,3.13358
4.1,0.34189,3.34924
4.2,0.34993,3.21749
4.3,0.35829,3.5023
4.4,0.36686,3.47961
4.5,0.37527,3.65236
4.6,0.38363,3.63545
4.7,0.39177,3.79841
4.8,0.39996,3.88607
4.9,0.40843,3.92051
5,0.41695,4.05906
5.1,0.4253,4.13226
5.2,0.43355,4.22134
5.3,0.44159,4.25508
5.4,0.45,4.44232
5.5,0.45852,4.4171
5.6,0.46698,4.64789
5.7,0.47529,4.74449
5.8,0.48337,4.76549
5.9,0.49157,4.94335
6,0.50014,5.14157
6.1,0.50861,5.03824
6.2,0.51702,5.24951
6.3,0.52521,5.28173
6.4,0.5333,5.45515
6.5,0.54166,5.62997
6.6,0.55023,5.65961
6.7,0.55864,5.79625
6.8,0.56695,5.74318
6.9,0.57498,5.8964
7,0.58323,5.91608
7.1,0.5918,5.9501
7.2,0.60021,6.13734
7.3,0.60862,6.31604
7.4,0.61682,6.29318
7.5,0.62491,6.68365
7.6,0.63338,6.43491
7.7,0.64189,6.64806
7.8,0.6503,6.77113
7.9,0.65861,6.7339
8,0.6667,6.94119
8.1,0.67495,7.04041
8.2,0.68346,7.06761
8.3,0.69198,7.08614
8.4,0.70029,7.25626
8.5,0.70843,7.22149
8.6,0.71657,7.31768
8.7,0.72504,7.30419
8.8,0.73355,7.39923
8.9,0.74196,7.33457
9,0.75027,7.38821
9.1,0.7583,7.36195
9.2,0.76666,7.14291
9.3,0.77523,7.17174
9.4,0.78364,7.34179
9.5,0.792,7.46317
9.6,0.80014,7.56528
9.7,0.80823,7.59746
9.8,0.81675,7.44841
9.9,0.82527,7.51494
10,0.83362,7.42988
10.1,0.84187,7.56034
10.2,0.84996,7.72088
10.3,0.85827,7.89165
10.4,0.86684,7.91641
10.5,0.8753,7.99203
10.6,0.88361,8.03767
10.7,0.89175,8.11107
10.8,0.89995,8.17622
10.9,0.90846,8.09846
11,0.91693,8.32108
11.1,0.92529,8.35704
11.2,0.93359,8.10555
11.3,0.94162,8.15271
11.4,0.94998,8.19969
11.5,0.9585,8.06796
11.6,0.96696,8.10469
11.7,0.97527,8.11217
11.8,0.98336,8.10702
11.9,0.99161,8.13607
12,1.00012,8.30181
12.1,1.00859,8.27991
12.2,1.017,8.34388
12.3,1.0252,8.23109
12.4,1.03329,8.28479
12.5,1.0417,8.52481
12.6,1.05021,8.41287
12.7,1.05863,8.79256
12.8,1.06693,8.72187
12.9,1.07502,8.84494
13,1.08321,9.00182
13.1,1.09179,8.91227
13.2,1.10025,9.14235
13.3,1.10861,9.10267
13.4,1.11686,9.20584
13.5,1.12495,9.36425
13.6,1.13336,9.46785
13.7,1.14188,9.5132
13.8,1.15034,9.74756
13.9,1.15859,9.78926
14,1.16668,9.88346
14.1,1.17498,10.00395
14.2,1.1835,10.04031
14.3,1.19196,10.11876
14.4,1.20032,10.23984
14.5,1.20841,10.17537
14.6,1.21655,10.36583
14.7,1.22507,10.51503
14.8,1.23359,10.65374
14.9,1.24195,10.68836
15,1.25025,10.84587
15.1,1.25834,10.89973
15.2,1.26664,11.04475
15.3,1.27516,11.1271
15.4,1.28363,11.17019
15.5,1.29198,11.27345
15.6,1.30013,11.52646
15.7,1.30827,11.42397
15.8,1.31673,11.73507
15.9,1.32525,11.92609
16,1.33361,11.8283
16.1,1.34191,11.85475
16.2,1.34995,12.00591
16.3,1.3583,12.06058
16.4,1.36688,12.08929
16.5,1.37529,12.29079
16.6,1.38364,12.35303
16.7,1.39173,12.43706
16.8,1.39988,12.58197
16.9,1.40845,12.75975
17,1.41696,12.72529
17.1,1.42532,12.80041
17.2,1.43357,12.96238
17.3,1.44161,13.10202
17.4,1.44996,13.23484
17.5,1.45848,13.29908
17.6,1.46695,13.43889
17.7,1.47525,13.4159
17.8,1.48339,13.54438
17.9,1.49159,13.75919
18,1.50011,13.7402
18.1,1.50857,13.9619
18.2,1.51698,14.0978
18.3,1.52523,14.13978
18.4,1.53327,14.03947
18.5,1.54168,14.46904
18.6,1.5502,14.38236
18.7,1.55861,14.55388
18.8,1.56691,14.7407
18.9,1.575,14.72764
19,1.58325,14.72689
19.1,1.59177,14.9444
19.2,1.60029,14.90908
19.3,1.60864,15.12545
19.4,1.61679,15.21348
19.5,1.62493,15.43236
19.6,1.63339,15.39134
19.7,1.64191,15.66943
19.8,1.65032,15.67176
19.9,1.65863,15.7997
20,1.66666,15.92655
20.1,1.67496,15.96969
20.2,1.68348,15.91527
20.3,1.69195,16.1248
20.4,1.7003,16.14193
20.5,1.7085,16.45089
20.6,1.71659,16.50189
20.7,1.725,16.5261
20.8,1.73357,16.61441
20.9,1.74193,16.76829
21,1.75023,16.827
21.1,1.75832,16.92705
21.2,1.76662,17.08141
21.3,1.77514,17.20453
21.4,1.78361,17.09966
21.5,1.79202,17.50747
21.6,1.80016,17.58765
21.7,1.80825,17.6132
21.8,1.81677,17.63523
21.9,1.82523,17.74302
22,1.83359,17.78484
22.1,1.84189,18.07704
22.2,1.84993,18.23098
22.3,1.85829,18.10295
22.4,1.86686,18.45941
22.5,1.87527,18.42734
22.6,1.88362,18.43839
22.7,1.89177,18.5365
22.8,1.89996,18.78431
22.9,1.90843,18.83607
23,1.91695,19.01021
23.1,1.92536,19.06082
23.2,1.93355,19.19254
23.3,1.94159,19.18281
23.4,1.95,19.1876
23.5,1.95852,19.25451
23.6,1.96698,19.55817
23.7,1.97529,19.65236
23.8,1.98343,19.59059
23.9,1.99157,19.81017
24,2.00009,19.89986
24.1,2.00861,20.11638
24.2,2.01702,20.11966
24.3,2.02521,20.30836
24.4,2.0333,20.41624
24.5,2.04166,20.42293
24.6,2.05018,20.4834
24.7,2.05864,20.56125
24.8,2.06695,20.74294
24.9,2.07498,20.87188
25,2.08323,21.11403
25.1,2.0918,21.14781
25.2,2.10021,21.23515
25.3,2.10863,21.28626
25.4,2.11682,21.34718
25.5,2.12496,21.55122
25.6,2.13337,21.4687
25.7,2.14189,21.63314
25.8,2.1503,21.80904
25.9,2.15861,21.84009
26,2.1667,22.08827
26.1,2.17489,22.01377
26.2,2.18346,22.16349
26.3,2.19193,22.28999
26.4,2.20029,22.35771
26.5,2.20843,22.42914
26.6,2.21657,22.46549
26.7,2.22504,22.84951
26.8,2.23355,22.9177
26.9,2.24196,22.84406
27,2.25027,23.02427
27.1,2.2583,23.21714
27.2,2.26661,23.27434
